Show Number, Air Date, Round, Category, Value, Question, Answer,,,
6118,3/30/2011,Jeopardy!,A DICKENSIAN NIGHTMARE,$200 ,"The prospect of an endless lawsuit winding through generations leaves a ""bleak"" vision",Bleak House,,,
6118,3/30/2011,Jeopardy!,UNIVERSITY SPORTS TEAMS,$200 ,"While Harvard has the Crimson, this university has the Crimson Tide",Alabama,,,
6118,3/30/2011,Jeopardy!,"""GENERAL"" JOB INFORMATION",$200 ,Alberto Gonzales & Robert F. Kennedy both held this cabinet position,Attorney General,,,
6118,3/30/2011,Jeopardy!,BATTLE TO NAME THE WAR,$200 ,The Battle of Stalingrad,World War II,,,
6118,3/30/2011,Jeopardy!,MAGAZINE FEATURES,$200 ,"Leading Off, Faces in the Crowd, Scorecard",Sports Illustrated,,,
6118,3/30/2011,Jeopardy!,3-LETTER ABBREV.,$200 ,Everyone has one: POV,a point of view,,,
6118,3/30/2011,Jeopardy!,A DICKENSIAN NIGHTMARE,$400 ,"That wedding gown, that faded gown--I cannot get it, or poor Miss Havisham, out of my head",Great Expectations,,,
6118,3/30/2011,Jeopardy!,UNIVERSITY SPORTS TEAMS,$400 ,"Penn State's teams, they were named partly for a mountain & partly for a creature that could defeat Princeton's Tigers",the Nittany Lions,,,
6118,3/30/2011,Jeopardy!,"""GENERAL"" JOB INFORMATION",$400 ,In 1775 the Continental Congress appointed man of letters Benjamin Franklin to this job,postmaster general,,,
6118,3/30/2011,Jeopardy!,BATTLE TO NAME THE WAR,$400 ,Quang Tri City; the cavalry was sent!,the Vietnam War,,,
6118,3/30/2011,Jeopardy!,MAGAZINE FEATURES,$400 ,"Goings on About Town, The Talk of the Town, The Critics",The New Yorker,,,
6118,3/30/2011,Jeopardy!,3-LETTER ABBREV.,$400 ,On some forms & applications: DOB,date of birth,,,
6118,3/30/2011,Jeopardy!,A DICKENSIAN NIGHTMARE,$600 ,"Bill was mean to his dog, Bull's Eye, then he killed Nancy... & so, I ran, but he kept gaining on me...",Oliver Twist,,,
6118,3/30/2011,Jeopardy!,UNIVERSITY SPORTS TEAMS,$600 ,"You could say these athletes at UNLV aren't ""without a cause""",the (Runnin') Rebels,,,
6118,3/30/2011,Jeopardy!,"""GENERAL"" JOB INFORMATION",$600 ,It's the rank just below (the very model of a modern) major general,brigadier general,,,
6118,3/30/2011,Jeopardy!,BATTLE TO NAME THE WAR,$600 ,"Quebec &, a year later, Trenton",the Revolutionary War,,,
6118,3/30/2011,Jeopardy!,MAGAZINE FEATURES,$600 ,"Agenda, Fairground, Fanfair",Vanity Fair,,,
6118,3/30/2011,Jeopardy!,3-LETTER ABBREV.,$600 ,A religious group: LDS,Latter Day Saints,,,
6118,3/30/2011,Jeopardy!,A DICKENSIAN NIGHTMARE,$800 ,"Oh no, it's the cruel headmaster of Salem House, Mr. Creakle, & his peg leg buddy, Tungay--will this never end?!",David Copperfield,,,
6118,3/30/2011,Jeopardy!,UNIVERSITY SPORTS TEAMS,$800 ,"Worn by the National College football champions for 1993 & 1999, this team's logo is seen <a href=""http://www.j-archive.com/media/2011-03-30_J_11.jpg"" target=""_blank"">here</a>",the (Florida State) Seminoles,,,
6118,3/30/2011,Jeopardy!,"""GENERAL"" JOB INFORMATION",$800 ,"The U.N.'s website says this job is ""a spokesman for the interests of the world's peoples, in particular the poor""",the Secretary-General,,,
6118,3/30/2011,Jeopardy!,BATTLE TO NAME THE WAR,$800 ,No one enjoyed the portions at Pork Chop Hill,the Korean War,,,
6118,3/30/2011,Jeopardy!,MAGAZINE FEATURES,$800 ,"Star Tracks, Scoop, Chatter",People,,,
6118,3/30/2011,Jeopardy!,3-LETTER ABBREV.,$800 ,"For tax purposes, the total amount you earned less deductions: AGI",adjusted gross income,,,
6118,3/30/2011,Jeopardy!,A DICKENSIAN NIGHTMARE,"$1,000 ","It's no ""mystery"" why John Jasper haunts me--his fingers have knives on them!",The Mystery of Edwin Drood,,,
6118,3/30/2011,Jeopardy!,UNIVERSITY SPORTS TEAMS,"$1,000 ",They're the sports teams of Fresno State as well as Georgia,the Bulldogs,,,
6118,3/30/2011,Jeopardy!,"""GENERAL"" JOB INFORMATION","$1,800 ",In 1870 Congress created this position to direct the Marine Hospital Service,the Surgeon General,,,
6118,3/30/2011,Jeopardy!,BATTLE TO NAME THE WAR,"$1,000 ","Let me take you down, 'cause we're going to... Bosworth Field",the War of the Roses,,,
6118,3/30/2011,Jeopardy!,MAGAZINE FEATURES,"$1,000 ","Your Shot, Where in the World?, Visions of Earth",National Geographic,,,
6118,3/30/2011,Jeopardy!,3-LETTER ABBREV.,"$1,000 ",Organization founded by Carrie Chapman Catt in 1920: LWV,the League of Women Voters,,,
6118,3/30/2011,Double Jeopardy!,BIBLICAL PEOPLE & PLACES,$400 ,"(<a href=""http://www.j-archive.com/media/2011-03-30_DJ_26.jpg"" target=""_blank"">Alex stands at the Western Wall in Jerusalem.</a>) The Western Wall is the only remnant of a retaining wall that was built to support the Temple Mount; now tradition says this mount was Moriah, the site where this patriarch prepared to sacrifice his son",Abraham,,,
6118,3/30/2011,Double Jeopardy!,PHILMOGRAPHIES,$400 ,"""Jingle All the Way"", ""So I Married an Axe Murderer"" (plus 153 episodes of ""SNL"")",Phil Hartman,,,
6118,3/30/2011,Double Jeopardy!,ARTISTS' RETREATS,$400 ,"""Ariel"", ""Portnoy's Complaint"" & this 1969 mob novel were all written partly in Yaddo in Upstate N.Y.",The Godfather,,,
6118,3/30/2011,Double Jeopardy!,GET SMART,$400 ,Choline may help adult brains grow; one of these breakfast items has about a third of your RDA--want an omelette?,an egg,,,
6118,3/30/2011,Double Jeopardy!,U.S. GEOGRAPHY,$400 ,"Instead of counties, this state has boroughs (or is it brrr-oughs?)",Alaska,,,
6118,3/30/2011,Double Jeopardy!,"""CH""ILL OUT!",$400 ,"15th century Pope Innocent VIII ""The Honest"" was the first pope to publicly admit having these",children,,,
6118,3/30/2011,Double Jeopardy!,BIBLICAL PEOPLE & PLACES,"$5,000 ","Ezra was the leader of the Jews who returned from this land, by whose waters they had sat down & wept",Babylon,,,
6118,3/30/2011,Double Jeopardy!,PHILMOGRAPHIES,$800 ,"""A Funny Thing Happened on the Way to the Forum"", ""It's a Mad Mad Mad Mad World"" (plus his own 1955-59 TV show)",Phil Silvers,,,
6118,3/30/2011,Double Jeopardy!,ARTISTS' RETREATS,$800 ,"Proceeds from ""Who's Afraid of Virginia Woolf?"" helped him start a residency program on Long Island",Edward Albee,,,
6118,3/30/2011,Double Jeopardy!,GET SMART,$800 ,"A study of 3,500 Japanese men's brains found those who did this in moderation aged better than those who didn't",drank alcohol,,,
6118,3/30/2011,Double Jeopardy!,U.S. GEOGRAPHY,$800 ,This state capital is located on the Merrimack River about 15 miles north of Manchester,Concord,,,
6118,3/30/2011,Double Jeopardy!,"""CH""ILL OUT!",$800 ,The Battle of Missionary Ridge was a chief encounter of the 1863 battle of this southeastern city,Chattanooga,,,
6118,3/30/2011,Double Jeopardy!,BIBLICAL PEOPLE & PLACES,"$1,200 ","(<a href=""http://www.j-archive.com/media/2011-03-30_DJ_28.jpg"" target=""_blank"">Jimmy of the Clue Crew stands on the bank of the Jordan River in Israel.</a>)  As depicted in art, after parting the River Jordan with his cloak, <a href=""http://www.j-archive.com/media/2011-03-30_DJ_28a.jpg"" target=""_blank"">this</a> biblical prophet followed a chariot of fire into Heaven",Elijah,,,
6118,3/30/2011,Double Jeopardy!,PHILMOGRAPHIES,"$1,200 ","""Buster"", ""Hook"", ""The Genesis Concert Movie""",Phil Collins,,,
6118,3/30/2011,Double Jeopardy!,ARTISTS' RETREATS,"$2,800 ",The patronage of Mabel Dodge Luhan made an artists' magnet of this town 55 miles from Santa Fe,"Taos, New Mexico",,,
6118,3/30/2011,Double Jeopardy!,GET SMART,"$1,200 ",A Boston study found doing this for 40 minutes a day builds up the cerebral cortex; monks must be really smart!,meditate,,,
6118,3/30/2011,Double Jeopardy!,U.S. GEOGRAPHY,"$1,200 ","Tributaries of this Mississippi tributary include the Cheyenne, James & Platte",the Missouri,,,
6118,3/30/2011,Double Jeopardy!,"""CH""ILL OUT!","$1,200 ",The Chinese call these kuaizi,chopsticks,,,
6118,3/30/2011,Double Jeopardy!,BIBLICAL PEOPLE & PLACES,"$1,600 ",It was the wealthiest Greek city in Paul's time; he founded a church there & wrote 2 letters to its Christians,Corinth,,,
6118,3/30/2011,Double Jeopardy!,PHILMOGRAPHIES,"$1,600 ","""Doubt"", ""Capote""",Philip Seymour Hoffman,,,
6118,3/30/2011,Double Jeopardy!,ARTISTS' RETREATS,"$1,600 ",The colony bearing this single name features a barn poet Edna built from a Sears kit,Millay,,,
6118,3/30/2011,Double Jeopardy!,GET SMART,"$1,600 ","Excess weight can interfere with this hormone, raising risk of diabetes & impairing brain function--so hit the gym, Einstein",insulin,,,
6118,3/30/2011,Double Jeopardy!,U.S. GEOGRAPHY,"$1,600 ",The Houston ship channel flows into this bay that shares its name with a city,Galveston Bay,,,
6118,3/30/2011,Double Jeopardy!,"""CH""ILL OUT!","$1,600 ","Don't squawk if you're accused of having illegible handwriting, aka this",chicken scratches,,,
6118,3/30/2011,Double Jeopardy!,BIBLICAL PEOPLE & PLACES,"$2,000 ","(<a href=""http://www.j-archive.com/media/2011-03-30_DJ_30.jpg"" target=""_blank"">Jimmy of the Clue Crew reads the clue from a church in Galilee in northern Israel.</a>)  This Italian Franciscan church is dedicated to these 9 assertions Jesus made nearby about the blessed",the Beatitudes,,,
6118,3/30/2011,Double Jeopardy!,PHILMOGRAPHIES,"$2,000 ","As a director: ""The Right Stuff"", ""Invasion of the Body Snatchers""",Philip Kaufman,,,
6118,3/30/2011,Double Jeopardy!,ARTISTS' RETREATS,"$2,000 ","Around 1912, 2 painters from the Art Institute of this city founded the Ox-Bow Institute in Saugatuck, Mich.",Chicago,,,
6118,3/30/2011,Double Jeopardy!,GET SMART,"$2,000 ",A U. of California study found that listening to the too many notes in this guy's sonatas raised IQ scores 8-9 points,Mozart,,,
6118,3/30/2011,Double Jeopardy!,U.S. GEOGRAPHY,"$2,000 ","This N.C. peak, the highest east of the Mississippi, was named for the man who surveyed it, died on it & is buried at the top",Mt. Mitchell,,,
6118,3/30/2011,Double Jeopardy!,"""CH""ILL OUT!","$2,000 ",Specific 5-letter term for the block of wood you wedge under the wheels when jacking up a car,chock,,,
6118,3/30/2011,Final Jeopardy!,INFLUENTIAL 19th CENTURY THINKERS,None,"At the University of Bonn in 1836, he was wounded in a duel with a member of an aristocratic Prussian fraternity",Karl Marx,,,
6294,1/19/2012,Jeopardy!,"A SHAKESPEARE PLAY, FOR OPENERS",$200 ,"This play opens on the battlements of the castle at Elsinore as Barnardo asks, ""who's there?""",Hamlet,,,
6294,1/19/2012,Jeopardy!,THAT'S BUSINESS,$200 ,He started a book business from his home in 1873; his son William joined forces with G. Clifford Noble in 1917,(Charles M.) Barnes,,,
6294,1/19/2012,Jeopardy!,NURSERY RHYMES,$200 ,"Peter, Peter was an eater of this; he kept his wife in its shell",pumpkin,,,
6294,1/19/2012,Jeopardy!,INLETS,$200 ,This largest Alaskan city lies at the head of cook inlet on the Kenai peninsula,Anchorage,,,
6294,1/19/2012,Jeopardy!,"THE EVOLUTION OF ""M""USIC",$200 ,"This '60s ""Nights in White Satin"" band has another color in its name",Moody Blues,,,
6294,1/19/2012,Jeopardy!,FOREIGN,$200 ,"In Portuguese, domingo is this day of the week",Sunday,,,
