column_a,column_b,column_c,column_d,multiplication_of_a_and_b,multiplication_of_c_and_d
1,0,0,0,0,0
1,0,312,0,0,0
1,0,312,0,0,0
1,0,312,0,0,0
1,0,311,1,0,311
1,0,310,2,0,620
1,0,310,2,0,620
1,0,307,5,0,1535
1,0,327,8,0,2616
1,0,325,10,0,3250
1,0,316,19,0,6004
1,0,312,23,0,7176
1,0,306,29,0,8874
1,0,294,41,0,12054
1,0,286,49,0,14014
1,0,303,55,0,16665
1,0,295,63,0,18585
1,0,288,70,0,20160
1,0,278,80,0,22240
1,0,269,89,0,23941
1,0,265,93,0,24645
1,0,257,101,0,25957
1,0,276,106,0,29256
1,0,270,112,0,30240
1,0,257,125,0,32125
1,0,247,135,0,33345
1,0,238,144,0,34272
1,0,230,152,0,34960
1,0,223,159,0,35457
2,0,243,166,0,40338
2,0,233,176,0,41008
2,0,225,184,0,41400
2,0,219,190,0,41610
2,0,214,195,0,41730
2,0,208,201,0,41808
2,0,198,211,0,41778
2,0,216,219,0,47304
2,0,209,226,0,47234
2,0,203,232,0,47096
2,0,192,243,0,46656
2,0,187,248,0,46376
2,0,180,255,0,45900
2,0,173,262,0,45326
2,0,195,267,0,52065
2,0,187,275,0,51425
2,0,177,285,0,50445
2,0,173,289,0,49997
2,0,172,290,0,49880
2,0,167,295,0,49265
2,0,162,300,0,48600
2,0,188,303,0,56964
2,0,179,312,0,55848
2,0,175,316,0,55300
2,0,170,321,0,54570
2,0,165,326,0,53790
2,0,164,327,0,53628
2,0,161,330,0,53130
3,0,192,335,0,64320
3,0,191,336,0,64176
3,0,189,338,0,63882
3,0,183,344,0,62952
3,0,176,351,0,61776
3,0,171,356,0,60876
3,0,167,360,0,60120
3,0,200,364,0,72800
3,0,196,368,0,72128
3,0,194,370,0,71780
3,0,185,379,0,70115
3,0,182,382,0,69524
3,0,181,383,0,69323
3,0,177,387,0,68499
3,0,190,394,0,74860
3,0,189,395,0,74655
3,0,185,399,0,73815
3,0,178,406,0,72268
3,0,174,410,0,71340
3,0,171,413,0,70623
3,0,165,419,0,69135
2,1,194,423,2,82062
2,1,191,426,2,81366
2,1,186,431,2,80166
2,1,183,434,2,79422
2,1,179,438,2,78402
2,1,173,444,2,76812
2,1,171,446,2,76266
5,1,203,448,5,90944
5,1,200,451,5,90200
5,1,200,451,5,90200
5,1,199,452,5,89948
5,1,196,455,5,89180
5,1,192,459,5,88128
5,1,190,461,5,87590
4,2,213,470,8,100110
4,2,210,473,8,99330
4,2,206,477,8,98262
4,2,202,481,8,97162
4,2,200,483,8,96600
3,3,193,490,9,94570
3,3,191,492,9,93972
3,3,223,497,9,110831
2,4,219,501,8,109719
2,4,215,505,8,108575
2,4,212,508,8,107696
2,4,207,513,8,106191
2,4,204,516,8,105264
2,4,198,522,8,103356
2,4,232,528,8,122496
2,4,225,535,8,120375
2,4,219,541,8,118479
2,4,215,545,8,117175
2,4,213,547,8,116511
2,4,206,554,8,114124
2,4,201,559,8,112359
5,4,247,563,20,139061
5,4,241,569,20,137129
5,4,238,572,20,136136
5,4,232,578,20,134096
5,4,225,585,20,131625
5,4,217,593,20,128681
5,4,211,599,20,126389
5,4,243,606,20,147258
5,4,240,609,20,146160
5,4,238,611,20,145418
5,4,232,617,20,143144
5,4,228,621,20,141588
5,4,221,628,20,138788
5,4,218,631,20,137558
5,4,261,634,20,165474
5,4,255,640,20,163200
5,4,247,648,20,160056
5,4,240,655,20,157200
5,4,238,657,20,156366
5,4,233,662,20,154246
4,5,231,664,20,153384
4,5,271,666,20,180486
4,5,267,670,20,178890
3,6,266,671,18,178486
3,6,261,676,18,176436
3,6,256,681,18,174336
3,6,251,686,18,172186
3,6,244,693,18,169092
6,6,298,698,36,208004
5,7,292,704,35,205568
5,7,284,712,35,202208
5,7,279,717,35,200043
5,7,270,726,35,196020
5,7,263,733,35,192779
5,7,261,735,35,191835
5,7,303,742,35,224826
5,7,298,747,35,222606
5,7,289,756,35,218484
5,7,286,759,35,217074
5,7,283,762,35,215646
5,7,277,768,35,212736
5,7,275,770,35,211750
5,7,326,779,35,253954
5,7,322,783,35,252126
5,7,314,791,35,248374
5,7,309,796,35,245964
5,7,305,800,35,244000
4,8,301,804,32,242004
4,8,297,808,32,239976
4,8,355,816,32,289680
4,8,344,827,32,284488
4,8,338,833,32,281554
4,8,327,844,32,275988
4,8,324,847,32,274428
4,8,317,854,32,270718
4,8,312,859,32,268008
7,8,383,863,56,330529
7,8,377,869,56,327613
7,8,364,882,56,321048
7,8,356,890,56,316840
7,8,353,893,56,315229
7,8,347,899,56,311953
7,8,341,905,56,308605
7,8,397,918,56,364446
7,8,393,922,56,362346
7,8,382,933,56,356406
7,8,376,939,56,353064
7,8,366,949,56,347334
7,8,359,956,56,343204
7,8,348,967,56,336516
7,8,409,971,56,397139
7,8,400,980,56,392000
7,8,396,984,56,389664
7,8,391,989,56,386699
7,8,384,996,56,382464
7,8,375,1005,56,376875
7,8,364,1016,56,369824
7,8,438,1020,56,446760
6,9,425,1033,54,439025
5,10,418,1040,50,434720
5,10,413,1045,50,431585
5,10,404,1054,50,425816
5,10,395,1063,50,419885
5,10,390,1068,50,416520
8,10,453,1081,80,489693
8,10,441,1093,80,482013
8,10,433,1101,80,476733
8,10,424,1110,80,470640
8,10,415,1119,80,464385
8,10,404,1130,80,456520
8,10,396,1138,80,450648
8,10,453,1148,80,520044
8,10,448,1153,80,516544
8,10,437,1164,80,508668
8,10,431,1170,80,504270
8,10,421,1180,80,496780
8,10,408,1193,80,486744
7,11,395,1206,77,476370
7,11,449,1217,77,546433
6,12,438,1228,72,537864
6,12,423,1243,72,525789
6,12,415,1251,72,519165
6,12,404,1262,72,509848
6,12,393,1273,72,500289
6,12,385,1281,72,493185
6,12,455,1289,72,586495
6,12,444,1300,72,577200
6,12,439,1305,72,572895
6,12,428,1316,72,563248
6,12,422,1322,72,557884
6,12,415,1329,72,551535
5,13,411,1333,65,547863
8,13,476,1340,104,637840
8,13,466,1350,104,629100
7,14,454,1362,98,618348
7,14,440,1376,98,605440
7,14,434,1382,98,599788
7,14,425,1391,98,591175
7,14,417,1399,98,583383
7,14,503,1405,98,706715
7,14,493,1415,98,697595
7,14,486,1422,98,691092
7,14,479,1429,98,684491
7,14,465,1443,98,670995
7,14,454,1454,98,660116
7,14,448,1460,98,654080
7,14,507,1468,98,744276
7,14,499,1476,98,736524
7,14,492,1483,98,729636
6,15,481,1494,90,718614
6,15,470,1505,90,707350
6,15,458,1517,90,694786
6,15,451,1524,90,687324
6,15,523,1532,90,801236
5,16,516,1539,80,794124
4,17,505,1550,68,782750
4,17,494,1561,68,771134
4,17,484,1571,68,760364
4,17,474,1581,68,749394
4,17,469,1586,68,743834
7,17,542,1593,119,863406
7,17,528,1607,119,848496
7,17,523,1612,119,843076
7,17,515,1620,119,834300
7,17,506,1629,119,824274
7,17,491,1644,119,807204
7,17,482,1653,119,796746
7,17,539,1667,119,898513
6,18,530,1676,108,888280
6,18,522,1684,108,879048
6,18,514,1692,108,869688
6,18,500,1706,108,853000
6,18,492,1714,108,843288
5,19,487,1719,95,837153
5,19,560,1727,95,967120
5,19,549,1738,95,954162
5,19,540,1747,95,943380
5,19,534,1753,95,936102
5,19,525,1762,95,925050
5,19,517,1770,95,915090
4,20,509,1778,80,905002
4,20,578,1793,80,1036354
4,20,561,1810,80,1015410
4,20,549,1822,80,1000278
4,20,539,1832,80,987448
4,20,527,1844,80,971788
4,20,519,1852,80,961188
4,20,506,1865,80,943690
7,20,576,1878,140,1081728
7,20,563,1891,140,1064633
7,20,550,1904,140,1047200
7,20,539,1915,140,1032185
7,20,527,1927,140,1015529
7,20,511,1943,140,992873
7,20,496,1958,140,971168
6,21,585,1965,126,1149525
6,21,577,1973,126,1138421
6,21,570,1980,126,1128600
5,22,561,1989,110,1115829
5,22,543,2007,110,1089801
5,22,532,2018,110,1073576
5,22,511,2039,110,1041929
5,22,591,2049,110,1210959
5,22,579,2061,110,1193319
5,22,564,2076,110,1170864
5,22,551,2089,110,1151039
5,22,539,2101,110,1132439
5,22,529,2111,110,1116719
5,22,520,2120,110,1102400
5,22,596,2129,110,1268884
5,22,580,2145,110,1244100
5,22,566,2159,110,1221994
5,22,555,2170,110,1204350
5,22,547,2178,110,1191366
5,22,535,2190,110,1171650
5,22,528,2197,110,1160016
8,22,624,2215,176,1382160
8,22,605,2234,176,1351570
8,22,598,2241,176,1340118
8,22,587,2252,176,1321924
8,22,577,2262,176,1305174
8,22,570,2269,176,1293330
8,22,559,2280,176,1274520
8,22,625,2292,176,1432500
8,22,618,2299,176,1420782
8,22,602,2315,176,1393630
8,22,595,2322,176,1381590
8,22,588,2329,176,1369452
8,22,576,2341,176,1348416
8,22,566,2351,176,1330666
8,22,627,2367,176,1484109
8,22,618,2376,176,1468368
8,22,609,2385,176,1452465
8,22,596,2398,176,1429208
8,22,583,2411,176,1405613
7,23,568,2426,161,1377968
7,23,557,2437,161,1357409
7,23,631,2448,161,1544688
7,23,619,2460,161,1522740
7,23,603,2476,161,1493028
7,23,595,2484,161,1477980
7,23,587,2492,161,1462804
7,23,575,2504,161,1439800
7,23,562,2517,161,1414554
10,23,632,2530,230,1598960
9,24,621,2541,216,1577961
9,24,614,2548,216,1564472
9,24,605,2557,216,1546985
9,24,594,2568,216,1525392
9,24,586,2576,216,1509536
9,24,570,2592,216,1477440
8,25,661,2603,200,1720583
8,25,651,2613,200,1701063
7,26,642,2622,182,1683324
7,26,627,2637,182,1653399
7,26,616,2648,182,1631168
7,26,605,2659,182,1608695
7,26,600,2664,182,1598400
5,28,682,2679,140,1827078
5,28,676,2685,140,1815060
5,28,666,2695,140,1794870
5,28,650,2711,140,1762150
5,28,638,2723,140,1737274
5,28,622,2739,140,1703658
3,30,610,2751,90,1678110
3,30,693,2762,90,1914066
3,30,676,2779,90,1878604
3,30,664,2791,90,1853224
3,30,647,2808,90,1816776
3,30,631,2824,90,1781944
3,30,622,2833,90,1762126
3,30,610,2845,90,1735450
2,31,681,2853,62,1942893
